technical_know_how,personal_traits,social_characteristics,motivating_factors,age,city
Smart,Emotional,Anti-establishment,Thrill-seeking,25,Kathmandu
Resourceful,Immoral/ Unethical,Socially inept,Political support,34,Janakpur
Well-trained,Immoral/ Unethical,Lack Social skills,Intolerance,26,Kalaiya
Creative,Inhuman Psyche,Need to outsmart others,Anger,44,Dhangadi
Well-trained,Emotional,Marginalised,Disregard for law,51,Tulsipur
Goal oriented,Passionate,Anti-establishment,Manipulate others,34,Hetauda
Well-networked,Psychiatric conditions,Unlawful,"Concealed
existence",53,Dhangadi
Skilful,Coward,Socially inept,Experimentation,39,Tulsipur
Well-networked,Vengeful,Radical,"Enhancing self-
worth",21,Dharan
Skilful,Identity crisis,Broken homes/families,No fear of punishment,65,Lalitpur
Smart,Inhuman Psyche,Anti-state,Political support,45,Jitpur
Smart,Immoral/ Unethical,"Insufficient social
support",Lust,36,Tulsipur
Goal oriented,Insensitive,Rebellious,Anger,35,Birgunj
Well-organized,Loner,Socially inept,Revenge,27,Birgunj
Sharp (intelligent),Secretive,Misguided,"Religious
fundamentalism",36,Kalaiya
Sharp (intelligent),Loner,Lack Social skills,Monetary Gain,38,Butwal
Smart,Strong-willed,Mass-destruction,Risk tolerance,60,Hetauda
Focussed,Selfish,Anti-state,Monetary Gain,65,Birgunj
Strategic planners,Determined,Need to outsmart others,"Greed (easy, quick money)",17,Hetauda
Well-networked,"Psychologically
Deviant",Reinforcement available,Manipulate others,57,Mahendranagar
Resourceful,Emotional,Brain-washed,Manipulate others,21,Kalaiya
Well-networked,Coercive,Low self-worth,No fear of punishment,50,Birgunj
Well-networked,Insensitive,Marginalised,Political support,55,Kalaiya
Focussed,Passionate,Anti-state,Experimentation,49,Nepalgunj
Strategic planners,Incited,Lack Social skills,No fear of punishment,54,Mahendranagar
Well-organized,Aggressive,"Insufficient social
support","Concealed
existence",17,Dhangadi
Well trained,Vengeful,Radical,Experimentation,34,Lalitpur
Sharp (intelligent),Identity crisis,Brain-washed,"Concealed
existence",44,Birgunj
Strategic planners,Control freak,Mass-destruction,Lust,47,Bharatpur
Opportunists,Passionate,Inferiority complex,Manipulate others,24,Hetauda
Resourceful,Identity crisis,Mass-destruction,Plain boredom,56,Lalitpur
Creative,Aggressive,Low self-worth,Need to Control others,48,Kathmandu
Well-organized,Control freak,Unlawful,Thrill-seeking,63,Ghorahi
Well-networked,Loner,Inferiority complex,Need to Control others,50,Bhaktapur
Sharp (intelligent),Emotional,Reinforcement available,"Religious
fundamentalism",61,Mahendranagar
Well-networked,Psychiatric conditions,Mass-destruction,Manipulate others,55,Lalitpur
Well trained,Gullible,Reinforcement available,No fear of punishment,44,Bhaktapur
Resourceful,Secretive,Unlawful,Disregard for law,51,Ghorahi
Well-networked,Coward,"Insufficient social
support",Political support,42,Butwal
Focussed,Coercive,Mass-destruction,Lust,47,Mahendranagar
Strategic planners,Emotional,Rationalization,"Concealed
existence",41,Pokhara
Well-organized,Insensitive,Misguided,Thrill-seeking,20,Ghorahi
Strategic planners,Determined,Anti-social,Emotions,30,Pokhara
Opportunists,Chaotic state of mind,Mass-destruction,Experimentation,26,Pokhara
Sharp (intelligent),Gullible,Broken homes/families,Disregard for law,56,Butwal
Well-trained,Strong-willed,Unlawful,Experimentation,23,Dhangadi
Resourceful,Determined,Socially inept,Curiosity,46,Biratnagar
Well-organized,Conviction in Violence,Anti-social,Monetary Gain,52,Dharan
Well-organized,Risk-taker,Lack Social skills,Political beliefs,45,Janakpur
Creative,Coward,Radical,Risk tolerance,26,Ghorahi
Well-networked,Loner,Rebellious,"Concealed
existence",30,Itahari
Well-organized,Determined,Anti-establishment,Plain boredom,23,Itahari
Sharp (intelligent),Determined,Anti-establishment,Political support,18,Mahendranagar
Smart,Conviction in Violence,Brain-washed,Political beliefs,65,Hetauda
Well-trained,Insensitive,Broken homes/families,Manipulate others,31,Bhaktapur
Well-trained,"Psychologically
Deviant",Rebellious,"Enhancing self-
worth",49,Bharatpur
Well-networked,Emotional,Rationalization,Curiosity,21,Itahari
Sharp (intelligent),Chaotic state of mind,Brain-washed,"Religious
fundamentalism",19,Hetauda
Resourceful,Impatient,Social dissatisfaction,Risk tolerance,59,Tulsipur
Well-trained,Control freak,Misguided,Political support,29,Jitpur
Bully,Strong-willed,Broken homes/families,Political support,47,Tulsipur
Well-trained,Loner,Low self-worth,No fear of punishment,29,Kalaiya
Creative,Identity crisis,Rationalization,Emotions,46,Birgunj
Opportunists,Insensitive,Mass-destruction,No fear of punishment,23,Birgunj
Strategic planners,Selfish,Reinforcement available,Revenge,36,Janakpur
Resourceful,Strong-willed,Anti-state,Revenge,31,Tulsipur
Well-organized,Secretive,Intolerance to diversity of opinion,"Greed (easy, quick money)",48,Jitpur
Resourceful,Conviction in Violence,Radical,Monetary Gain,20,Birgunj
Well trained,Emotional,Radical,Experimentation,61,Hetauda
Strategic planners,Determined,Lack Social skills,Revenge,63,Pokhara
Opportunists,Aggressive,Radical,Revenge,25,Ghorahi
Well trained,Selfish,Intolerance to diversity of opinion,Experimentation,33,Butwal
Strategic planners,Risk-taker,Reinforcement available,Need to Control others,47,Dhangadi
Well-networked,Coward,Rationalization,No fear of punishment,16,Dhangadi
Resourceful,Control freak,Anti-social,Risk tolerance,55,Birgunj
Creative,Emotional,Broken homes/families,Disregard for law,60,Pokhara
Resourceful,Incited,Rebellious,Curiosity,32,Kalaiya
Skilful,Insensitive,Broken homes/families,Revenge,36,Janakpur
Creative,Secretive,Unlawful,Need to Control others,49,Jitpur
Bully,Coward,Need to outsmart others,No fear of punishment,28,Hetauda
Sharp (intelligent),Control freak,Rebellious,"Enhancing self-
worth",21,Mahendranagar
Strategic planners,Immoral/ Unethical,Low self-worth,Need to Control others,54,Kalaiya
Well-networked,Coward,Reinforcement available,Thrill-seeking,47,Kathmandu
Well-organized,Determined,Mass-destruction,Thrill-seeking,33,Jitpur
Opportunists,Gullible,Inferiority complex,"Religious
fundamentalism",49,Nepalgunj
Well-networked,Strong-willed,Low self-worth,"Concealed
existence",60,Kalaiya
Well-organized,Risk-taker,Rebellious,Anger,42,Bhaktapur
Goal oriented,Selfish,Reinforcement available,No fear of punishment,64,Kathmandu
Well-networked,Aggressive,Anti-establishment,Lust,47,Mahendranagar
Smart,Inhuman Psyche,Brain-washed,Curiosity,48,Dharan
Well-trained,Selfish,Intolerance to diversity of opinion,"Enhancing self-
worth",58,Nepalgunj
Well-organized,Vengeful,Inferiority complex,"Enhancing self-
worth",59,Hetauda
Goal oriented,Insensitive,Rationalization,Intolerance,28,Ghorahi
Well trained,Coward,Unlawful,Thrill-seeking,31,Kathmandu
Skilful,Identity crisis,Broken homes/families,Plain boredom,49,Hetauda
Sharp (intelligent),Chaotic state of mind,Rebellious,Curiosity,42,Kathmandu
Opportunists,Vengeful,Rationalization,Need to Control others,63,Kathmandu
Well-networked,Gullible,Inferiority complex,Risk tolerance,50,Bhaktapur
Skilful,Identity crisis,Unlawful,"Religious
fundamentalism",23,Mahendranagar
Well-organized,Chaotic state of mind,Broken homes/families,Risk tolerance,30,Kalaiya
Resourceful,Vengeful,Radical,Monetary Gain,36,Pokhara
Bully,Vengeful,Rebellious,Curiosity,42,Tulsipur
Focussed,Inhuman Psyche,Intolerance to diversity of opinion,"Enhancing self-
worth",54,Ghorahi
Well-organized,Selfish,Rebellious,Curiosity,26,Nepalgunj
Well-trained,Vengeful,Rebellious,"Concealed
existence",37,Jitpur
Goal oriented,Insensitive,Mass-destruction,Need to Control others,31,Kathmandu
Well-trained,Aggressive,Reinforcement available,"Concealed
existence",28,Ghorahi
Creative,Selfish,Anti-establishment,"Concealed
existence",31,Butwal
Sharp (intelligent),Emotional,Broken homes/families,"Religious
fundamentalism",44,Pokhara
Resourceful,Identity crisis,Social dissatisfaction,No fear of punishment,46,Pokhara
Well trained,Insensitive,Brain-washed,Manipulate others,17,Nepalgunj
Goal oriented,Coward,Social dissatisfaction,Experimentation,39,Birgunj
Well-organized,Secretive,Need to outsmart others,Political beliefs,56,Kalaiya
Opportunists,Aggressive,Marginalised,Manipulate others,52,Janakpur
Well trained,Gullible,Broken homes/families,Manipulate others,29,Itahari
Opportunists,Vengeful,Rationalization,Experimentation,53,Pokhara
Well trained,Insensitive,Marginalised,Intolerance,42,Butwal
Resourceful,Gullible,Brain-washed,Revenge,41,Mahendranagar
Goal oriented,Emotional,Radical,Political beliefs,24,Tulsipur
Goal oriented,Emotional,Rebellious,Disregard for law,45,Dharan
Well-organized,Control freak,Socially inept,Plain boredom,46,Kathmandu
Sharp (intelligent),Impatient,Broken homes/families,"Greed (easy, quick money)",31,Lalitpur
Smart,Conviction in Violence,Broken homes/families,Manipulate others,53,Nepalgunj
Creative,Insensitive,Misguided,"Religious
fundamentalism",48,Biratnagar
Focussed,Inhuman Psyche,Brain-washed,Political beliefs,36,Birgunj
Well-organized,Selfish,Intolerance to diversity of opinion,Disregard for law,45,Mahendranagar
Goal oriented,Incited,Anti-state,Lust,48,Kalaiya
Strategic planners,Emotional,Socially inept,Disregard for law,33,Bhaktapur
Resourceful,Strong-willed,Brain-washed,Disregard for law,23,Dharan
Resourceful,"Psychologically
Deviant",Rebellious,Political beliefs,63,Itahari
Well-trained,Psychiatric conditions,Lack Social skills,Thrill-seeking,30,Pokhara
Well-trained,Loner,Reinforcement available,"Religious
fundamentalism",46,Dharan
Focussed,Insensitive,Unlawful,Anger,38,Tulsipur
Well trained,Insensitive,Lack Social skills,Revenge,36,Kathmandu
Smart,Loner,"Insufficient social
support",Disregard for law,27,Lalitpur
Strategic planners,Insensitive,Lack Social skills,Need to Control others,22,Pokhara
Well-trained,Selfish,Radical,Anger,17,Butwal
Well trained,Psychiatric conditions,Intolerance to diversity of opinion,"Concealed
existence",58,Butwal
Smart,Conviction in Violence,Anti-establishment,Thrill-seeking,31,Tulsipur
Strategic planners,Loner,Radical,Experimentation,65,Dharan
Well-organized,Selfish,Need to outsmart others,Political support,57,Dharan
Focussed,Gullible,Brain-washed,Monetary Gain,57,Kalaiya
Well trained,Coercive,Reinforcement available,Political support,30,Bhaktapur
Goal oriented,Control freak,Brain-washed,"Religious
fundamentalism",33,Butwal
Well trained,"Psychologically
Deviant",Lack Social skills,"Religious
fundamentalism",48,Itahari
Creative,Insensitive,Anti-social,Lust,20,Nepalgunj
Well trained,Control freak,Broken homes/families,Disregard for law,17,Lalitpur
Opportunists,Conviction in Violence,Misguided,Political beliefs,38,Nepalgunj
Focussed,Coward,Anti-state,Lust,60,Mahendranagar
Opportunists,Immoral/ Unethical,Reinforcement available,Monetary Gain,42,Kalaiya
Focussed,Emotional,Low self-worth,Disregard for law,20,Itahari
Skilful,Chaotic state of mind,Anti-state,Monetary Gain,35,Ghorahi
Well-organized,Selfish,Socially inept,Manipulate others,61,Biratnagar
Focussed,Emotional,Mass-destruction,Manipulate others,42,Kalaiya
Sharp (intelligent),Selfish,Rationalization,Manipulate others,58,Bharatpur
Sharp (intelligent),Control freak,Social dissatisfaction,Anger,51,Hetauda
Creative,Selfish,Intolerance to diversity of opinion,"Enhancing self-
worth",25,Jitpur
Smart,Emotional,Rebellious,Experimentation,56,Nepalgunj
Resourceful,Insensitive,Intolerance to diversity of opinion,Intolerance,58,Lalitpur
Smart,Strong-willed,Unlawful,"Religious
fundamentalism",58,Butwal
Creative,Impatient,Inferiority complex,"Concealed
existence",55,Birgunj
Resourceful,Immoral/ Unethical,Unlawful,"Concealed
existence",56,Butwal
Well-networked,Determined,Anti-state,Political support,50,Dharan
Sharp (intelligent),Coercive,Lack Social skills,Manipulate others,16,Nepalgunj
Skilful,Identity crisis,Marginalised,"Greed (easy, quick money)",40,Butwal
Well-trained,Emotional,Rationalization,Risk tolerance,48,Itahari
Well-networked,Control freak,Lack Social skills,Intolerance,27,Bhaktapur
Well-organized,Passionate,Intolerance to diversity of opinion,Experimentation,44,Itahari
Well trained,Selfish,Radical,"Religious
fundamentalism",38,Itahari
Well trained,Control freak,Marginalised,Risk tolerance,23,Lalitpur
Resourceful,Gullible,Radical,Plain boredom,44,Itahari
Well-trained,Identity crisis,Broken homes/families,Curiosity,36,Butwal
Bully,Control freak,Marginalised,Manipulate others,63,Bharatpur
Well trained,Conviction in Violence,Anti-establishment,"Religious
fundamentalism",44,Lalitpur
Resourceful,Inhuman Psyche,Unlawful,Plain boredom,40,Itahari
Strategic planners,Passionate,Lack Social skills,Need to Control others,33,Janakpur
Well-organized,Vengeful,Intolerance to diversity of opinion,Political support,29,Pokhara
Well-networked,Insensitive,Brain-washed,Political support,42,Lalitpur
Focussed,Conviction in Violence,"Insufficient social
support",Manipulate others,37,Jitpur
Skilful,Chaotic state of mind,"Insufficient social
support",Experimentation,44,Pokhara
Well-networked,Coward,Anti-state,Plain boredom,16,Bhaktapur
Sharp (intelligent),Coercive,Social dissatisfaction,Political beliefs,21,Nepalgunj
Smart,Immoral/ Unethical,Anti-establishment,Plain boredom,18,Bhaktapur
Focussed,Insensitive,Reinforcement available,Intolerance,61,Biratnagar
Well-trained,Secretive,Rationalization,Emotions,22,Mahendranagar
Goal oriented,Vengeful,Rebellious,Risk tolerance,60,Butwal
Well-trained,Determined,Brain-washed,Lust,49,Hetauda
Well-trained,Control freak,Brain-washed,Plain boredom,32,Nepalgunj
Well trained,Risk-taker,"Insufficient social
support",Plain boredom,24,Dhangadi
Opportunists,Secretive,Low self-worth,Emotions,24,Itahari
Focussed,Control freak,Radical,Disregard for law,61,Hetauda
Resourceful,Chaotic state of mind,Rebellious,Anger,48,Dharan
Skilful,Passionate,Reinforcement available,Need to Control others,24,Bhaktapur
Creative,Insensitive,Anti-establishment,Political support,62,Itahari
Well-trained,"Psychologically
Deviant",Rationalization,"Religious
fundamentalism",24,Kathmandu
Skilful,Vengeful,Mass-destruction,Risk tolerance,25,Birgunj
Skilful,"Psychologically
Deviant",Misguided,Risk tolerance,58,Tulsipur
Well trained,Gullible,Anti-social,Thrill-seeking,40,Ghorahi
Creative,Immoral/ Unethical,Rebellious,Political support,42,Mahendranagar
Sharp (intelligent),Coward,Marginalised,Revenge,17,Lalitpur
Focussed,Conviction in Violence,Intolerance to diversity of opinion,Disregard for law,51,Biratnagar
Smart,Impatient,Marginalised,Intolerance,28,Ghorahi
Focussed,Coercive,Misguided,Emotions,47,Biratnagar
Sharp (intelligent),Coercive,Low self-worth,Experimentation,48,Janakpur
Goal oriented,Passionate,Rationalization,"Greed (easy, quick money)",59,Nepalgunj
Sharp (intelligent),Secretive,Inferiority complex,Monetary Gain,64,Pokhara
Resourceful,Conviction in Violence,Lack Social skills,Political support,27,Nepalgunj
Creative,Insensitive,Intolerance to diversity of opinion,Anger,56,Dhangadi
Creative,Loner,Rationalization,"Religious
fundamentalism",36,Butwal
Bully,Impatient,Marginalised,Plain boredom,28,Bharatpur
Strategic planners,Psychiatric conditions,Anti-establishment,Revenge,35,Butwal
Strategic planners,Passionate,Rationalization,Monetary Gain,26,Mahendranagar
Opportunists,Psychiatric conditions,Low self-worth,"Greed (easy, quick money)",36,Janakpur
Bully,Immoral/ Unethical,Social dissatisfaction,Plain boredom,47,Dharan
Bully,"Psychologically
Deviant",Unlawful,Risk tolerance,30,Itahari
Smart,Psychiatric conditions,Reinforcement available,Emotions,37,Ghorahi
Bully,Loner,Social dissatisfaction,"Religious
fundamentalism",40,Tulsipur
Bully,"Psychologically
Deviant",Intolerance to diversity of opinion,Manipulate others,51,Kathmandu
Well trained,"Psychologically
Deviant",Intolerance to diversity of opinion,Lust,31,Mahendranagar
Strategic planners,Inhuman Psyche,Inferiority complex,Plain boredom,30,Tulsipur
Skilful,Insensitive,Anti-establishment,"Enhancing self-
worth",20,Dhangadi
Skilful,Insensitive,Lack Social skills,No fear of punishment,58,Lalitpur
Skilful,Secretive,Brain-washed,Monetary Gain,21,Mahendranagar
Strategic planners,Inhuman Psyche,Socially inept,Curiosity,56,Jitpur
Goal oriented,Identity crisis,Marginalised,Thrill-seeking,46,Bhaktapur
Creative,Identity crisis,Anti-state,Political support,55,Butwal
Sharp (intelligent),Selfish,Radical,Thrill-seeking,54,Tulsipur
Skilful,Determined,Rebellious,Disregard for law,29,Jitpur
Resourceful,Psychiatric conditions,Lack Social skills,Experimentation,34,Bhaktapur
Strategic planners,Secretive,Mass-destruction,Curiosity,61,Janakpur
Smart,Loner,Brain-washed,Plain boredom,56,Tulsipur
Skilful,Coercive,Anti-state,Plain boredom,64,Itahari
Smart,Conviction in Violence,"Insufficient social
support",Disregard for law,24,Mahendranagar
Well trained,Selfish,Low self-worth,Monetary Gain,46,Lalitpur
Bully,Gullible,Mass-destruction,Disregard for law,63,Butwal
Focussed,Control freak,Lack Social skills,"Religious
fundamentalism",61,Hetauda
Bully,Insensitive,Mass-destruction,Monetary Gain,21,Butwal
Opportunists,Insensitive,Lack Social skills,No fear of punishment,53,Hetauda
Well-trained,Loner,Low self-worth,Political beliefs,40,Biratnagar
Well trained,Inhuman Psyche,Social dissatisfaction,Anger,38,Butwal
Well-organized,"Psychologically
Deviant",Intolerance to diversity of opinion,Political support,30,Tulsipur
Strategic planners,Loner,Social dissatisfaction,Lust,47,Itahari
Strategic planners,Strong-willed,Socially inept,Curiosity,56,Bhaktapur
Well-trained,Aggressive,Rebellious,Need to Control others,40,Itahari
Well trained,Gullible,Anti-establishment,Risk tolerance,53,Nepalgunj
Goal oriented,"Psychologically
Deviant",Anti-social,Emotions,25,Janakpur
Opportunists,"Psychologically
Deviant",Broken homes/families,"Religious
fundamentalism",20,Hetauda
Opportunists,Identity crisis,Anti-social,"Enhancing self-
worth",33,Hetauda
Creative,Chaotic state of mind,Anti-establishment,Need to Control others,47,Bhaktapur
Well-networked,Determined,Misguided,Political support,21,Itahari
Well-trained,Incited,Misguided,Monetary Gain,16,Bharatpur
Opportunists,Strong-willed,Misguided,"Religious
fundamentalism",22,Janakpur
Skilful,Risk-taker,Need to outsmart others,Political support,23,Ghorahi
Opportunists,Vengeful,Anti-social,Manipulate others,40,Kalaiya
Well-trained,Inhuman Psyche,"Insufficient social
support","Greed (easy, quick money)",56,Bharatpur
Resourceful,Secretive,Radical,Experimentation,47,Butwal
Well-organized,Risk-taker,Rationalization,Anger,21,Dharan
Goal oriented,Insensitive,Social dissatisfaction,Experimentation,16,Itahari
Skilful,Determined,Reinforcement available,Manipulate others,52,Jitpur
Bully,Loner,Rationalization,Plain boredom,29,Hetauda
Sharp (intelligent),Coward,Rebellious,Disregard for law,18,Biratnagar
Well-networked,Selfish,Low self-worth,"Greed (easy, quick money)",52,Dharan
Focussed,Insensitive,Low self-worth,Emotions,57,Kalaiya
Smart,Coward,Brain-washed,Anger,47,Hetauda
Well-networked,Coward,Marginalised,Experimentation,20,Ghorahi
Focussed,Inhuman Psyche,Broken homes/families,Risk tolerance,46,Birgunj
Well-organized,Gullible,Intolerance to diversity of opinion,Plain boredom,56,Ghorahi
Well-organized,Coercive,Low self-worth,Revenge,47,Itahari
Bully,Inhuman Psyche,Intolerance to diversity of opinion,Lust,24,Nepalgunj
Smart,Loner,Reinforcement available,Emotions,46,Dharan
Resourceful,Strong-willed,Lack Social skills,Thrill-seeking,55,Lalitpur
Focussed,Aggressive,Anti-social,Monetary Gain,20,Bhaktapur
Opportunists,Coercive,Marginalised,Political support,37,Kalaiya
Well-organized,Gullible,Mass-destruction,Lust,41,Kathmandu
Strategic planners,Impatient,Anti-state,Political support,57,Dharan
Resourceful,Identity crisis,Marginalised,"Concealed
existence",59,Nepalgunj
Sharp (intelligent),Insensitive,Low self-worth,"Religious
fundamentalism",26,Tulsipur
Creative,Incited,Inferiority complex,Thrill-seeking,63,Hetauda
Well-networked,Emotional,Mass-destruction,"Concealed
existence",19,Hetauda
Sharp (intelligent),Insensitive,Marginalised,Political beliefs,38,Itahari
Opportunists,Aggressive,Intolerance to diversity of opinion,Plain boredom,52,Biratnagar
Sharp (intelligent),Emotional,Inferiority complex,Intolerance,58,Dharan
Opportunists,Coward,Low self-worth,"Religious
fundamentalism",30,Kalaiya
Well-networked,Secretive,Radical,Emotions,46,Itahari
Sharp (intelligent),Aggressive,Anti-state,"Concealed
existence",33,Biratnagar
Well-organized,Coward,Anti-establishment,Lust,49,Pokhara
Well-trained,Incited,Inferiority complex,Disregard for law,44,Biratnagar
Well trained,Impatient,Unlawful,Curiosity,22,Dharan
Focussed,Immoral/ Unethical,Social dissatisfaction,"Enhancing self-
worth",31,Kathmandu
Strategic planners,Determined,Brain-washed,Need to Control others,22,Janakpur
Smart,Immoral/ Unethical,Misguided,Disregard for law,43,Birgunj
Strategic planners,Impatient,"Insufficient social
support",No fear of punishment,30,Nepalgunj
Well-trained,Strong-willed,Unlawful,Risk tolerance,49,Ghorahi
Bully,Inhuman Psyche,Lack Social skills,Plain boredom,45,Bharatpur
Opportunists,Gullible,Inferiority complex,"Concealed
existence",63,Janakpur
Well trained,Coercive,"Insufficient social
support",Emotions,63,Birgunj
Well-networked,Incited,Reinforcement available,Curiosity,17,Nepalgunj
Well-networked,Gullible,Anti-social,No fear of punishment,65,Hetauda
Resourceful,Coercive,Mass-destruction,"Religious
fundamentalism",31,Janakpur
Creative,Control freak,Rationalization,Thrill-seeking,46,Jitpur
Resourceful,Chaotic state of mind,Reinforcement available,Political support,41,Dharan
Well-organized,Immoral/ Unethical,Broken homes/families,Need to Control others,42,Birgunj
Skilful,Strong-willed,Intolerance to diversity of opinion,"Greed (easy, quick money)",37,Butwal
Bully,Conviction in Violence,Marginalised,Disregard for law,42,Nepalgunj
Well trained,Coercive,Rationalization,Emotions,43,Tulsipur
Well-organized,Inhuman Psyche,Radical,Monetary Gain,64,Dhangadi
Bully,Identity crisis,Anti-establishment,Experimentation,54,Jitpur
Sharp (intelligent),Insensitive,Reinforcement available,"Enhancing self-
worth",22,Itahari
Opportunists,Vengeful,Rebellious,Experimentation,62,Butwal
Well-trained,Inhuman Psyche,Socially inept,Lust,33,Jitpur
Sharp (intelligent),Coercive,Social dissatisfaction,Risk tolerance,47,Bharatpur
Bully,Inhuman Psyche,Misguided,No fear of punishment,47,Biratnagar
Resourceful,Risk-taker,Inferiority complex,Political beliefs,58,Kalaiya
Resourceful,Inhuman Psyche,Brain-washed,Manipulate others,43,Bhaktapur
Sharp (intelligent),"Psychologically
Deviant",Radical,Risk tolerance,48,Tulsipur
Goal oriented,"Psychologically
Deviant",Brain-washed,"Religious
fundamentalism",60,Pokhara
Focussed,Aggressive,Anti-state,Political beliefs,30,Janakpur
Bully,Coward,Mass-destruction,Experimentation,19,Jitpur
Goal oriented,Gullible,Brain-washed,"Greed (easy, quick money)",35,Dharan
Smart,Gullible,Intolerance to diversity of opinion,Experimentation,24,Pokhara
Bully,Risk-taker,"Insufficient social
support",Intolerance,27,Butwal
Well-organized,Conviction in Violence,Radical,"Religious
fundamentalism",64,Lalitpur
Bully,Immoral/ Unethical,Marginalised,Plain boredom,45,Jitpur
Resourceful,Insensitive,Lack Social skills,Curiosity,34,Hetauda
Creative,Passionate,"Insufficient social
support",Need to Control others,52,Butwal
Opportunists,Conviction in Violence,Anti-establishment,"Concealed
existence",63,Pokhara
Goal oriented,Coercive,Anti-social,Monetary Gain,22,Jitpur
Well-organized,Control freak,Social dissatisfaction,Manipulate others,50,Biratnagar
Smart,"Psychologically
Deviant",Broken homes/families,Anger,48,Ghorahi
Opportunists,Coward,Unlawful,Intolerance,28,Butwal
Smart,Inhuman Psyche,Unlawful,"Greed (easy, quick money)",29,Jitpur
Focussed,Conviction in Violence,Anti-state,Disregard for law,23,Bhaktapur
Resourceful,Risk-taker,Social dissatisfaction,No fear of punishment,22,Biratnagar
Focussed,Inhuman Psyche,Mass-destruction,No fear of punishment,24,Ghorahi
Well trained,Impatient,Social dissatisfaction,Monetary Gain,24,Pokhara
Creative,Inhuman Psyche,Reinforcement available,Risk tolerance,28,Butwal
Focussed,Determined,Marginalised,Anger,59,Butwal
Smart,Secretive,Radical,Intolerance,20,Janakpur
Well-trained,Identity crisis,Misguided,Plain boredom,63,Itahari
Creative,Passionate,Socially inept,Experimentation,46,Hetauda
Goal oriented,Psychiatric conditions,Low self-worth,Experimentation,51,Hetauda
Goal oriented,Impatient,Marginalised,No fear of punishment,47,Kathmandu
Creative,Inhuman Psyche,Rationalization,Experimentation,53,Dharan
Creative,Coercive,Anti-state,Disregard for law,35,Ghorahi
Skilful,Control freak,Brain-washed,"Religious
fundamentalism",19,Kalaiya
Bully,Chaotic state of mind,Lack Social skills,Manipulate others,55,Kalaiya
Creative,Chaotic state of mind,Intolerance to diversity of opinion,Plain boredom,26,Butwal
Well-networked,Coercive,Intolerance to diversity of opinion,Intolerance,64,Bhaktapur
Goal oriented,Psychiatric conditions,Low self-worth,Political beliefs,53,Pokhara
Resourceful,Risk-taker,Broken homes/families,Political beliefs,16,Jitpur
Sharp (intelligent),Incited,Mass-destruction,Lust,40,Pokhara
Opportunists,Coward,Anti-state,Intolerance,19,Pokhara
Strategic planners,Loner,Intolerance to diversity of opinion,"Religious
fundamentalism",58,Lalitpur
Skilful,Aggressive,Anti-establishment,"Religious
fundamentalism",26,Birgunj
Smart,Loner,Low self-worth,Disregard for law,46,Itahari
Goal oriented,Loner,Inferiority complex,Plain boredom,41,Bhaktapur
Sharp (intelligent),Loner,Intolerance to diversity of opinion,Thrill-seeking,63,Pokhara
Opportunists,Coward,Marginalised,Curiosity,33,Lalitpur
Well-organized,"Psychologically
Deviant","Insufficient social
support",Risk tolerance,38,Tulsipur
Smart,Incited,Marginalised,Emotions,17,Bharatpur
Strategic planners,Inhuman Psyche,Mass-destruction,Curiosity,63,Dhangadi
Skilful,Secretive,Anti-establishment,Anger,40,Butwal
Goal oriented,Impatient,Socially inept,Revenge,39,Jitpur
Goal oriented,Gullible,Inferiority complex,Disregard for law,45,Jitpur
Well-trained,Secretive,Social dissatisfaction,Intolerance,16,Kathmandu
Strategic planners,Immoral/ Unethical,Mass-destruction,Political beliefs,28,Bhaktapur
Creative,Insensitive,Rationalization,Curiosity,24,Jitpur
Goal oriented,Coercive,Misguided,Manipulate others,28,Jitpur
Creative,Loner,Marginalised,Manipulate others,50,Ghorahi
Well trained,Aggressive,Inferiority complex,"Religious
fundamentalism",62,Tulsipur
Bully,Passionate,Radical,No fear of punishment,44,Kalaiya
Smart,Vengeful,Low self-worth,Intolerance,33,Bharatpur
Well-trained,"Psychologically
Deviant",Intolerance to diversity of opinion,Political beliefs,44,Tulsipur
Resourceful,Loner,Social dissatisfaction,Plain boredom,17,Jitpur
Well-networked,Insensitive,Rebellious,Thrill-seeking,46,Kathmandu
Creative,Emotional,Unlawful,"Religious
fundamentalism",37,Birgunj
Opportunists,Determined,Mass-destruction,Disregard for law,65,Bharatpur
Focussed,Vengeful,Misguided,Political support,17,Ghorahi
Bully,Loner,Unlawful,"Greed (easy, quick money)",57,Lalitpur
Resourceful,Identity crisis,Misguided,Curiosity,52,Tulsipur
Goal oriented,Psychiatric conditions,Rebellious,Emotions,51,Pokhara
Well-networked,Impatient,Radical,Experimentation,44,Kalaiya
Opportunists,Identity crisis,Anti-state,Political support,37,Ghorahi
Resourceful,Passionate,Rebellious,Thrill-seeking,30,Janakpur
Opportunists,Vengeful,Anti-social,Plain boredom,47,Bhaktapur
Strategic planners,Insensitive,Inferiority complex,Experimentation,26,Bhaktapur
Well-networked,"Psychologically
Deviant",Anti-establishment,Intolerance,60,Pokhara
Resourceful,Chaotic state of mind,Low self-worth,Need to Control others,36,Pokhara
Smart,Determined,Radical,Political support,47,Bharatpur
Well trained,Incited,Need to outsmart others,Intolerance,33,Dharan
Opportunists,Loner,Rationalization,Thrill-seeking,58,Mahendranagar
Smart,"Psychologically
Deviant",Lack Social skills,Monetary Gain,38,Biratnagar
Sharp (intelligent),Aggressive,Brain-washed,Political support,48,Bhaktapur
